nSpheres	TimeTaken
1	0.674102
2	0.838621
3	0.999737
4	1.16459
5	1.33159
10	2.12715
15	2.63961
20	2.99741
50	5.85024
100	10.5436
200	20.714
300	30.9076
400	40.9242
500	51.0343
1000	101.661
