nSpheres	TimeTaken
1	5.27339
2	5.47248
3	5.64523
4	6.03148
5	6.40191
10	7.67671
15	9.3238
20	9.61867
50	20.9923
100	39.8418
200	51.7493
300	52.585
400	70.2697
500	73.7885
1000	140.673
