nSpheres	TimeTaken
1	5.43846
2	6.34207
3	7.40517
4	8.2843
5	9.10283
10	13.542
15	17.9754
20	22.3408
50	49.141
100	93.6556
200	236.184
300	269.781
400	355.477
500	452.013
1000	892.227
