nSpheres	TimeTaken
1	4.9817
2	5.58162
3	6.49908
4	7.20279
5	8.03115
10	11.1536
15	14.2402
20	17.1577
50	35.9577
100	69.163
200	119.715
300	172.62
400	227.878
500	281.437
1000	558.289
