nSpheres	TimeTaken
1	0.674684
2	0.82525
3	0.981064
4	1.14011
5	1.15117
10	1.57974
15	2.14995
20	2.49242
50	5.30855
100	9.99788
200	19.6303
300	29.2112
400	38.6853
500	48.3455
1000	96.2689
