nSpheres	TimeTaken
1	5.26595
2	5.56654
3	5.97474
4	6.60027
5	7.30767
10	9.61174
15	11.4526
20	13.1375
50	22.948
100	71.0825
200	111.008
300	102.638
400	136.904
500	161.321
1000	313.211
