nSpheres	TimeTaken
1	0.447241
2	0.542575
3	0.652133
4	0.721075
5	0.837123
10	1.26071
15	1.7556
20	1.97507
50	3.72801
100	6.28179
200	12.2302
300	18.275
400	24.3233
500	30.3815
1000	60.5802
